ia,DOI,Carbohydrate/Protein Mimetic,Category ,Mimic of which Protein/Carbohydrate,Name of the Mimetic,Functions,Activity
2004,https://doi.org/10.1055/s-2005-868500,Carbohydrate,glycosides,β-linked O-tetrasaccharides,b-C-Tetrasaccharide,"β-C-Tetrasaccharides are synthetic carbohydrate analogs where the glycosidic oxygen is replaced by a carbon atom, forming a stable C–C bond. This structural modification enhances their resistance to enzymatic degradation while retaining biological activity. Their functions span immune modulation, neural development, and cellular signaling","Type 2 Diabetes:C-Trisaccharides (e.g., N-Trisaccharide from Cucumis prophetarum) reduce hyperglycemia by modulating insulin secretion and carbohydrate metabolism enzymes"
2004,https://doi.org/10.1055/s-2005-868500,Carbohydrate,glycosides,O-linked trisaccharides,C-trisaccharides,C-trisaccharides (carba-trisaccharides) are synthetic analogs of natural trisaccharides where the glycosidic oxygen is replaced by a methylene group,"Type 2 Diabetes:C-Trisaccharides (e.g., N-Trisaccharide from Cucumis prophetarum) reduce hyperglycemia by modulating insulin secretion and carbohydrate metabolism enzymes"
2005,https://doi.org/10.1186/1860-5397-1-12,Carbohydrate,glycosidases,glucose,1-deoxynojirimycin (DNJ) family,"its derivatives miglustat (N-nBu DNJ, Zavesa®) and miglitol (N-hydroxethyl DNJ, Glyset® or Diastabol®) have already found therapeutic applica tions in Gaucher's disease [11] and type 2 (non-insulino dependant mellitus) diabetes,","Diabetes: Inhibits α-glucosidase, reducing postprandial hyperglycemia"
2006,doi:10.2174/157017906778699530,Carbohydrate,glucopyranose,cyclopeptide tachykinin NK-2 antagonist,2-deoxy-2-thio-D-glucopyranose,2-deoxy-2-thio-D-glucopyranose is designed as a mimic of the cyclopeptide tachykinin NK-2 antagonist,Antiviral/Diabetes: Thiosugar analog with potential for α-glucosidase inhibition
2006,https://doi.org/10.1016/j.tet.2006.05.080,Carbohydrate,Miscellaneous,monosaccharides,pseudosugar cycloalkane,Pseudosugar cycloalkanes (carbasugars) are carbocyclic analogs of natural sugars where the furanose/pyranose oxygen is replaced with a methylene group. These compounds exhibit specialized biological functions due to their structural mimicry of carbohydrates while offering enhanced metabolic stability.,"Diabetes: Acarbose (pseudo-tetrasaccharide) slows carbohydrate digestion, managing type 2 diabetes"
2007,https://doi.org/10.1111/j.1742-1241.2007.01437.x,Carbohydrate,GLP-1 mimetic,GLP-1,exenatide,Subcutaneous injection for type II diabetes,Type II Diabetes:A GLP-1 receptor agonist that improves insulin secretion and reduces blood glucose levels.
2007,https://doi.org/10.1111/j.1742-1241.2007.01437.x,Carbohydrate,GLP-1 mimetic,GLP-1,liraglutide,Once daily dosing for type II diabetes,Obesity & Type II Diabetes:Enhances insulin sensitivity while promoting weight loss
2007,https://doi.org/10.1016/j.beem.2007.09.003,Protein,NA,GLP-1,"exendin-4(1–39), exenatide, or AC-2993",a DPP-4-resistant GLP-1 receptor agonist isolated from the saliva of the Gila monster (Heloderma suspectum),exendin-4 replicates all of the known biological actions of GLP-1
2007,https://doi.org/10.1016/j.beem.2007.09.003,Protein,NA,GLP-1,exenatide LAR,clinical trails for type-2 diabetes.,Once-weekly administration (0.8 or 2 mg) of exenatide LAR to type-2 diabetic patients for 15 weeks lowered HbA1c (1.4–1.7%) and reduced body weight (up to 3.8 kg).
2007,https://doi.org/10.1016/j.beem.2007.09.003,Protein,Non-peptide incretin mimetics,incretin,Boc5,stimulated glucose-dependent insulin secretion and lowered food intake in mice.,The effects of Boc5 were countered by co-administration of exendin(9–39). injection of Boc5 to db/db mice over a 6-week period significantly lowered HbA1c values
2007,https://doi.org/10.1016/j.beem.2007.09.003,Protein,peptide,GLP-1,PEG-DAPD,improved plasma half-life in vivo,"improves glucose tolerance and reduces blood glucose following a glucagon challenge.PEGylation appears to eliminate the inhibitory effect of DADP on gastrointestinal motility, and it is hoped that this will prevent the more significant gastrointestinal side-effects such as nausea and vomiting."
2008,https://doi.org/10.1016/j.bmc.2007.11.036,Carbohydrate,Iminosugar,Glucose,Deoxynojirimycin (DNJ),Inhibitor of α-glucosidase,"Type II Diabetes:DNJ inhibits α-glucosidase, reducing postprandial hyperglycemia"
2008,https://doi.org/10.1016/j.bmc.2007.11.036,Carbohydrate,Iminosugar,Glucose,N-hydroxyethyl-DNJ (miglitol),Treatment for type II diabetes,"Type II Diabetes:Similar to DNJ, miglitol inhibits intestinal α-glucosidase, improving glycemic control"
2009,https://www.nature.com/articles/nrd2852.pdf,Carbohydrate,glycomimetic,α-glucosidase inhibitor,Voglibose (Glustat),Voglibose (Glustat) functions as an α-glucosidase inhibitor used for the treatment of diabetes,type 2 diabetes mellitus. It is an alpha-glucosidase inhibitor that helps control postprandial (after-meal) blood glucose levels by delaying the digestion and absorption of complex carbohydrates in the small intestine
2009,https://doi.org/10.1002/ejoc.200900945,Carbohydrate,glycoside,oligosaccharide,D-ribofuranoid glycoaminoxy acid,D-Ribofuranoid glycoaminoxy acid is a synthetic derivative of β-D-ribofuranose (the five-membered ring form of ribose) modified with an aminoxy group (–ONH₂) and a carboxylic acid (–COOH),Diabetic Nephropathy: Heparin analogs reduce advanced glycation end products (AGEs) and glomerular permeability
2009,https://doi.org/10.1161/ATVBAHA.109.187518,Protein,Peptide Mimetic,ApoA-I,D-4F,ability to resist enzymatic degradation,inhibit atherosclerotic lesions.
2009,https://doi.org/10.1080/15419060801891034,Protein,Cx-mimetic peptides,Cx43,Gap 27/43,"Inhibits CxHc within minutes and gap junctions,  may be useful in reducing damage after spinal cord injury.","inhibiting intercellular communication and antigen cross presentation in dendritic cells, T-cell activation and production of immunoglobulins and cytokines in mixed lymphocyte cultures"
2009,https://doi.org/10.1080/15419060801891034,Protein,Cx-mimetic peptides,Cx43,Gap 27/40,"Inhibits Cx40 gap junctions,  may be useful in reducing damage after spinal cord injury.","inhibiting intercellular communication and antigen cross presentation in dendritic cells, T-cell activation and production of immunoglobulins and cytokines in mixed lymphocyte cultures"
2009,https://doi.org/10.1016/j.pharmthera.2009.06.002,Protein,glucagon,GLP-1,exenatide,"improves first phase insulin release,  induces a delay of
gastric emptying, and
decreases food intake. It improves the GLUT-4 expression in target
cells of STZ-diabetic rats,  On a long run
B-cell function is improved for which a permanently ongoing
treatment is necessary , treatment of type 2 diabetes","As a GLP-1 agonist, exenatide binds to the pancreatic GLP-1 receptor and improves glucose homeostasis by mimicking the actions of naturally occurring GLP-1, stimulates insulin release in a glucosedependent manner"
2009,https://doi.org/10.1016/j.pharmthera.2009.06.002,Protein,glucagon,incretin,Boc5,an oral incretin mimetic,Boc5 is a non-peptidic glucagon-like peptide-1 receptor (GLP-1R) agonist that mimics the activity of the natural incretin hormone GLP-1 (glucagon-like peptide-1)
2010,https://doi.org/10.4155/fmc.10.8,Carbohydrate,glycosidases,O-glycoside,C-glycosides,"C-glycosides serve as stable mimics of glycosides by replacing the anomeric oxygen with a carbon atom, which suppresses the reactivity of the anomeric center. This stability makes them useful in medicinal chemistry, as they are unable to undergo the metabolism of the parent sugar, allowing them to participate in biological processes of pharmacological relevance without being metabolized",Diabetes: Voglibose inhibits α-glucosidase
2010,https://doi.org/10.1517/17460441.2010.497811,Carbohydrate,iminosugar,glucose,miglitol (N-(2-hydroxyethyl)-nojirimycin),"able to prevent digestion of carbohydrates by a-glucosidase inhibition , anti-diabetic and antiobesity compound",Type 2 Diabetes: Reduces postprandial glucose spikes as an α-glucosidase inhibitor
2010,https://doi.org/10.1517/17460441.2010.497811,Carbohydrate,iminosugar,Oligosaccharides,acarbose,"It is an inhibitor of α-glucosidases and α-amylases, enzymes involved in carbohydrate metabolism.",Type 2 Diabetes: Lowers HbA1c levels by delaying carbohydrate digestion
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,Iminosugars,α-glycosides,1-deoxynojirimycin,"1-Deoxynojirimycin functions as a glycosidase inhibitor. It derives its ability to inhibit glycohydrolases from the nitrogen in the ring, which can support a positive charge, enabling it to mimic the transition state characteristic of the hydrolysis of α-glycosides","Type 2 Diabetes:DNJ and miglitol inhibit intestinal α-glucosidase, reducing postprandial hyperglycemia"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,Iminosugars,mannose,N-butyldeoxygalactonojirimycin,N-butyldeoxygalactonojirimycin is mentioned as having potential for the treatment of β-galactosidosis,"Type 2 Diabetes:DNJ and miglitol inhibit intestinal α-glucosidase, reducing postprandial hyperglycemia"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,Iminosugars,mannose,1-deoxymannojirimycin,1-Deoxymannojirimycin functions as a glycosidase inhibitor,"Type 2 Diabetes:DNJ and miglitol inhibit intestinal α-glucosidase, reducing postprandial hyperglycemia"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,Iminosugars,galactose,1-deoxygalactostatin,1-deoxygalactostatin as one of the glycosidase inhibitors derived from a single molecule,"Diabetic Complications: Inhibits advanced glycation end-product (AGE) formation by targeting pathways involving 3-deoxyglucosone (3-DG), a precursor to AGEs linked to diabetic neuropathy, retinopathy, and nephropathy"
2010,https://doi.org/10.4155/fmc.10.8,Carbohydrate,inhibitor,iminosugar,N-butyl-deoxynojirimycin,used for the treatment of type 1 Gaucher disease,"Type 2 Diabetes:DNJ and miglitol inhibit intestinal α-glucosidase, reducing postprandial hyperglycemia"
2011,https://doi.org/10.1039/C1OB05583F,Carbohydrate,Mixed-Type Oligosaccharides,d-fructose,acyclic aminopolyols,"Acyclic aminopolyols function as carbohydrate mimetics used to enhance selectin binding properties. They are attached to gold colloids and sulfated to improve ligand-receptor interactions. These sulfated colloids exhibit strong selectin binding properties and no signs of cytotoxicity, serving as a valuable example of improved ligand-receptor interactions when presented multivalently","Diabetes, Viral Infections, Cancer: Synthesized via biocatalytic amination of sugars, these compounds act as carbohydrate mimetics for diabetes management, antiviral therapies, and antitumor agents"
2011,https://doi.org/10.2174/138955711793564060,Carbohydrate,Iminosugars,glucose,1-deoxynojirimycin (DNJ),1-deoxynojirimycin (DNJ) functions as a glycosidase inhibitor. It is a stable and powerful inhibitor of both α- and β-glucosidases,"Diabetes: Inhibits α-glucosidase, reducing postprandial hyperglycemia"
2011,https://doi.org/10.1134/S1068162011060100,Carbohydrate,Mixed-Type Oligosaccharides,heparinoids,dextran sulfate (DS),"Dextran sulfate functions as an inhibitor of viral adhesion, specifically inhibiting the primary adsorption of viruses like HIV on the cell membrane, thus preventing the initial stage of infection. However, its practical use as a drug is limited due to low bioaccessibility and challenges in standardization and structural characterization","Type 1 Diabetes (T1D): Preserves β-cell mass, reverses hyperglycemia in preclinical models"
2011,https://doi.org/10.1016/j.tetlet.2011.05.063,Carbohydrate,iminosugar,glucose,2-deoxynojirimycin,"2-Deoxynojirimycin (2-DNJ) is a mimic of glucose, specifically targeting enzymes involved in carbohydrate metabolism. It is a polyhydroxylated piperidine that structurally resembles the pyranose form of glucose, enabling it to act as a potent inhibitor of glycosidases, particularly α-glucosidase and other carbohydrate-processing enzymes.","Type 2 Diabetes: Miglitol (a DNJ derivative) inhibits intestinal α-glucosidases, reducing postprandial hyperglycemia"
2011,https://doi.org/10.1016/j.tetlet.2011.05.063,Carbohydrate,iminosugar,D-glucose,Miglitol,"Miglitol, also known as N-hydroxyethyldeoxynojirimycin, is developed by Bayer and is used to treat type II diabetes. It functions through its strong inhibiting effect against alpha-glucosidase in the human body, which helps block the digestion of dietary carbohydrates into glucose","Type 2 Diabetes: Slows carbohydrate digestion, improving glycemic control"
2012,https://doi.org/10.1016/j.actbio.2012.01.036,Protein,peptide amphiphiles,glucagon-like peptide 1-mimetic peptide amphiphiles,Exendin-4,used to create a biomaterial that forms a cell-encapsulating network of nanofibers under physiological conditions,"Stimulates insulin secretion, promotes β-cell proliferation, and protects against cytokine-induced cell death, Diabetes"
2012,https://doi.org/10.1016/j.actbio.2012.01.036,Protein,peptide amphiphiles,glucagon-like peptide 1-mimetic peptide amphiphiles,Ser[2]exendin(1–9) with sequence HSEDTFTSD,biomaterial that forms a cell-encapsulating network of nanofibers under physiological conditions,"enzymatic inactivation due to the substitution at the second residue., Diabetes"
2013,https://doi.org/10.1002/ejoc.201201413,Carbohydrate,Iminosugar,maltose,N-hydroxyethyl-1-deoxy-nojirimycin (Glyset),Glycosidase inhibitor,"Used primarily in the treatment of Type 2 diabetes by inhibiting α-glucosidase, which slows carbohydrate absorption."
2013,https://doi.org/10.1002/ejoc.201201413,Carbohydrate,Iminosugar,Glucitol (Sorbitol),"1,5-Dideoxy-1,5-imino-D-glucitol",Acts as a glycosidase inhibitor.,"Inhibits enzymes such as α-glucosidases, which are involved in the hydrolysis of glycosidic bonds in carbohydrates. This inhibition can help regulate blood sugar levels, making it useful in the management of diabetes and related metabolic disorders."
2013,https://doi.org/10.1002/ejoc.201201413,Carbohydrate,Iminosugar,Lyxose,"1,5-Dideoxy-1,5-imino-D-lyxitol",Acts as a glycosidase inhibitor.,"Inhibits glycosidases, which can affect carbohydrate metabolism. Its structural similarity to lyxose allows it to interfere with the enzymatic processes that normally act on this sugar, potentially providing therapeutic benefits in conditions related to carbohydrate metabolism."
2013,https://doi.org/10.1002/ejoc.201201413,Carbohydrate,Iminosugar,Idohexose,1-Deoxy-1-idonojirimycin (l-DIJ),Glycosidase inhibitor,"Inhibits enzymes involved in carbohydrate metabolism, potentially useful in treating metabolic disorders."
2013,https://doi.org/10.1002/ejoc.201201413,Carbohydrate,Iminosugar,Glucitol,"1,5,6-trideoxy-1,5-imino-D-glucitol",Glycosidase inhibitor,"Inhibits glycosidases, impacting carbohydrate metabolism."
2013,DOI: 10.1248/yakushi.13-00054,Carbohydrate,α-1-C-alkyl-arabinoiminofuranoses,Various carbohydrates,α-1-C-alkyl-arabinoiminofuranoses,Inhibitor of intestinal maltase and sucrase,"Showed potent inhibitory activities towards intestinal maltase, with IC50 values comparable to commercial drugs such as acarbose, voglibose, and miglitol,which are used in the treatment of type 2 diabetes"
2013,https://doi.org/10.1002/anie.201302543,Carbohydrate,Carbocyclic analogue of sergliflozin,"Sergliflozin, which is a glucose analogue",Pseudo-sergliflozin,"Acts as a selective inhibitor of the sodium-dependent glucose cotransporter 2 (SGLT2), responsible for glucose reabsorption in the kidneys.","Pseudo-sergliflozin has a three-fold longer half-life and longer hypoglycemic action compared to sergliflozin-A (2b) in db/db mice, indicating its potential effectiveness as an antidiabetic agent"
2013,https://doi.org/10.1002/anie.201302543,Carbohydrate,Original sergliflozin compound,Glucose,Sergliflozin-A,"Inhibitor of SGLT2, similar to pseudo-sergliflozin.",Potential treatment for type 2 diabetes by increasing urinary glucose excretion and lowering blood glucose levels without causing hypoglycemia
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Carbohydrate,Iminosugar,glucose,miglitol,"Miglitol is used for the treatment of Type II diabetes and functions by inhibiting carbohydrate-processing enzymes, which helps to regulate blood sugar levels","Inhibits alpha-glucosidase enzymes, delaying carbohydrate digestion and reducing postprandial hyperglycemia"
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Carbohydrate,Iminosugar,glucose,moranoline,Modulates the action of enzymes involved in carbohydrate synthesis and metabolism.,"Potential treatment for diabetes by inhibiting intestinal α-glucosidases, reducing postprandial glucose levels"
2014,https://link.springer.com/chapter/10.1007/7355_2014_50,Carbohydrate,Iminosugar,glucose,fagomine,Modulates the action of enzymes involved in carbohydrate synthesis and metabolism.,"Lowers postprandial blood glucose and modulates bacterial adhesion, potential for diabetes management and gut health"
2014,https://doi.org/10.1517/13543776.2014.916280,Carbohydrate,Amino Carbasugar,D-Glucose,Valienamine,Glycosidase inhibitor,"Inhibits α-glucosidases and is the active pharmacophore in acarbose, used to treat type 2 diabetes"
2014,https://doi.org/10.1517/13543776.2014.916280,Carbohydrate,Amino Carbasugar,D-Glucose,Acarbose,α-Glucosidase inhibitor,Used as an anti-diabetic drug to slow carbohydrate absorption in the intestine
2015,http://dx.doi.org/10.1055/s-0034-1380201.,Carbohydrate, N-alkylated compounds,Pyranose,"Secondary amine 9, obtained from the reaction of aminopyran with pentanal",Potential glycosidase inhibitor,May help in managing metabolic disorders like diabetes by regulating carbohydrate digestion
2015,http://dx.doi.org/10.1055/s-0034-1380201.,Carbohydrate, N-alkylated compounds,Pyranose,"Secondary amine 10, obtained from the reaction of aminopyran with benzaldehyde",Potential glycosidase inhibitor,May help in managing metabolic disorders like diabetes by regulating carbohydrate digestion
2015,http://dx.doi.org/10.1055/s-0034-1380201.,Carbohydrate, N-alkylated compounds,Pyranose,"Secondary amine 11, obtained from the reaction of aminopyran with 4-bromobenzaldehyde",Potential glycosidase inhibitor,May help in managing metabolic disorders like diabetes by regulating carbohydrate digestion
2015,https://doi.org/10.1016/j.copbio.2014.11.016,Carbohydrate,Synthetic Lectin,Glucose and its epimers,Boronic Acid-Based Receptors,These receptors utilize boronate ester formation to bind carbohydrates.,Potential applications in diabetes monitoring and management through selective glucose sensing. May also have uses in developing targeted drug delivery systems or diagnostic tools for diseases involving altered glucose levels or metabolism.
2016,https://doi.org/10.1021/acs.joc.6b00302,Carbohydrate,Fluorinated Carbohydrate Mimic,D-threo-hexopyranose,"2,3-dideoxy -2,2,3,3-tetrafluoro D -thereo hexopyranose",Potential inhibitor of carbohydrate-processing enzymes,"May have therapeutic potential in treating diseases involving carbohydrate metabolism, such as diabetes or viral infections"
2016,https://doi.org/10.1021/acs.joc.6b00302,Carbohydrate,Fluorinated Carbohydrate Mimic,D-threo-hexofuranose,"2,3-dideoxy -2,2,3,3-tetrafluoro D -thereo hexofuranose",Potential inhibitor of carbohydrate-processing enzymes,"May have therapeutic potential in treating diseases involving carbohydrate metabolism, such as diabetes or viral infections"
2016,https://doi.org/10.1021/acs.joc.6b00302,Carbohydrate,Fluorinated Carbohydrate Mimic,D-erythro-hexopyranose,"2,3-dideoxy -2,2,3,3-tetrafluoro D -erythro hexopyranose",Potential inhibitor of carbohydrate-processing enzymes,"May have therapeutic potential in treating diseases involving carbohydrate metabolism, such as diabetes or viral infections"
2016,https://doi.org/10.1021/acs.joc.6b00302,Carbohydrate,Fluorinated Carbohydrate Mimic,D-threo-hexopyranose,"3,4-dideoxy -3,3,4,4-tetrafluoro D -threo hexopyranose",Potential inhibitor of carbohydrate-processing enzymes,"May have therapeutic potential in treating diseases involving carbohydrate metabolism, such as diabetes or viral infections"
2016,https://doi.org/10.1021/acs.joc.6b00302,Carbohydrate,Fluorinated Carbohydrate Mimic,D-erythro-hexopyranose,"3,4-dideoxy -3,3,4,4-tetrafluoro D -erythro hexopyranose",Potential inhibitor of carbohydrate-processing enzymes,"May have therapeutic potential in treating diseases involving carbohydrate metabolism, such as diabetes or viral infections"
2016,https://doi.org/10.1016/j.drudis.2016.11.003,Protein,synthetic analog,Vasopressin,desmopressin,"mainly used to treat diabetes insipidus, nocturnal enuresis (bedwetting), and bleeding abnormalitie","Regulates plasma osmolality, cardiovascular, and brain functions"
2016,https://doi.org/10.1016/j.drudis.2016.11.003,Protein,amylinomimetic,amylin,Pramlintide,used to treat both type 1 and 2 diabetes mellitus (T1DM and T2DM),"improves glycemic control by modulating the rate of gastric emptying, preventing postprandial rises in glucagonlevels, and increasing satiety, thereby reducing caloric intake and potentiating weight loss"
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,Exenatide,treatment for T2 diabetes,Treatment for type 2 diabetes as a DPP-4 resistant GLP-1 mimetic
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,Liraglutide,treatment for T2 diabetes,Treatment for type 2 diabetes as a DPP-4 resistant GLP-1 mimetic
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,Lixisenatide,treatment for T2 diabetes,Treatment for type 2 diabetes as a DPP-4 resistant GLP-1 mimetic
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,Albiglutide,treatment for T2 diabetes,"stimulate glucose-induced insulin secretion, suppress glucagon secretion and hepatic glucose production and delay gastric emptying"
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,Dulaglutide,phase III for T2 diabetes,"stimulate glucose-induced insulin secretion, suppress glucagon secretion and hepatic glucose production and delay gastric emptying"
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,Semaglutide,phase III for T2 diabetes,"stimulate glucose-induced insulin secretion, suppress glucagon secretion and hepatic glucose production and delay gastric emptying"
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,HM11260C,phase III for T2 diabetes,"stimulate glucose-induced insulin secretion, suppress glucagon secretion and hepatic glucose production and delay gastric emptying"
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,LAPS-Exendin,phase III for T2 diabetes,"stimulate glucose-induced insulin secretion, suppress glucagon secretion and hepatic glucose production and delay gastric emptying"
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,NN9926,phase I for T2 diabetes,"stimulate glucose-induced insulin secretion, suppress glucagon secretion and hepatic glucose production and delay gastric emptying"
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,OG9S7GT,phase I for T2 diabetes,"stimulate glucose-induced insulin secretion, suppress glucagon secretion and hepatic glucose production and delay gastric emptying"
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Incretin Mimetics,GLP-1,ZY0G1,phase I for T2 diabetes and obesity,"stimulate glucose-induced insulin secretion, suppress glucagon secretion and hepatic glucose production and delay gastric emptying"
2017,https://doi.org/10.1039/C7OB00386B,Carbohydrate,Azetidine derivative,Monosaccharides,Bicyclic azetidine,Amyloglucosidase inhibitor,Potential treatment for diabetes by regulating carbohydrate digestion
2017,https://doi.org/10.1080/1040841X.2016.1242868,Carbohydrate,Iminosugar,Deoxynojirimycin (DNJ),N-hydroxyethyldeoxynojirimycin (Miglitol),Inhibitor of glucosidases,Used in the treatment of non-insulin-dependent diabetes
2017,https://doi.org/10.1016/j.carres.2017.03.012,Carbohydrate,Inositol Mimic,L-rhamnopyranose,D-pinitol,Potential sugar substitute,Potential applications in diabetes management due to its insulin-like effects and in treating polycystic ovary syndrome
2017,http://doi.org/10.1371/journal.pone.0185653,Protein,Not Specified Explicitly,Insulin,Synthetic Insulin Mimetics,Designed to activate insulin receptors.,"They aim to replicate insulin's effects on glucose uptake and metabolism, potentially useful in diabetes management."
2017,http://doi.org/10.1371/journal.pone.0185653,Protein,Not Specified Explicitly,Glucagon-like peptide-1 (GLP-1),GLP-1 analogs,Enhances insulin secretion in response to meals.,These mimetics improve glycemic control and promote weight loss in type 2 diabetes patients.
2019,https://doi.org/10.3390/biomimetics4030055,Carbohydrate,Glycan,Transition state of glycosidic bond hydrolysis,Iminoglycosides,Used to inhibit glycosidases by mimicking the transition state of the enzymatic reaction.,"Binds to the active site of glycosidases with high affinity, preventing the enzyme from catalyzing the hydrolysis of glycosidic bonds."
2020,https://doi.org/10.1002/med.21625,Carbohydrate,High-mannose glycan,"Manα(1,2)Man",Carbamannose-based pseudodisaccharide (29),Similar to mannose-based glycomimetic antagonist (28) with enhanced affinity.,Binds to DC-SIGN with low millimolar affinity
2020,https://doi.org/10.1002/med.21625,Carbohydrate,Galactose,Galactose,Fluorocarbasugar (39),Improved leaving-group ability and slowed hydrolysis of the covalent intermediate.,Inactivates α-galactosidase by covalent binding at the enzyme's active site​
2021,https://doi.org/10.3390/antiox10020292,Protein,Not Specified Explicitly,α-glucosidase,α-Glucosidase Inhibition,"The coumarins also inhibit α-glucosidase, an enzyme that breaks down carbohydrates.","(+)-trans-decursidinol shows competitive inhibition, while Pd-C-I and Pd-C-II exhibit mixed-type inhibition, and Pd-C-III shows non-competitive inhibition"